Fecha,usd,tiie,brent,IPC,WTI,IGAE,INPC,yield_usa,yield_mex
17/01/1997,7.8275,0.2565,22.54,3733.16,25.41,68.59535734,39.08277672,0,0
31/01/1997,7.8217,0.247,22.52,3647.17,24.15,67.92226344,39.45014654,5.45,27.37
14/02/1997,7.778,0.2258,20.49,3826.77,22.41,66.968991,39.80261563,5.425,25.105
28/02/1997,7.974,0.2259,18.85,3840.98,20.3,66.01571855,40.05020309,5.4,22.84
17/03/1997,7.992,0.24535,19.5,3760.55,20.92,66.552216,40.31479385,5.48,23.915
31/03/1997,7.9313,0.2254,19.38,3747.98,20.41,67.08871345,40.5320061,5.56,24.99
16/04/1997,7.8978,0.255,19.38,3834.58,19.35,68.63905038,40.76813182,5.635,25
30/04/1997,7.9519,0.2139,18.52,3756.61,20.21,70.1893873,40.95191259,5.71,25.01
16/05/1997,7.8942,0.20935,20.35,3890.36,22.12,70.72150944,41.15002103,5.7,22.625
30/05/1997,7.9167,0.2051,19.4,3968.81,20.88,71.25363157,41.31584341,5.69,20.24
16/06/1997,7.9537,0.2217,17.86,4259.84,19.01,70.98560301,41.51719984,5.67,21.375
30/06/1997,7.9504,0.238,18.51,4457.97,19.8,70.71757445,41.68034797,5.65,22.51
17/07/1997,7.8557,0.2098,18.69,4816.37,19.99,70.60073801,41.88113066,5.61,21.6
31/07/1997,7.8248,0.20085,18.94,5067.83,20.14,70.48390156,42.04103149,5.57,20.69
15/08/1997,7.7646,0.20165,18.99,4956.61,20.07,70.25617616,42.24315199,5.565,20.49
29/08/1997,7.7853,0.21525,18.51,4648.41,19.61,70.02845075,42.42521291,5.56,20.29
15/09/1997,7.7677,0.208,18.23,4833.12,19.27,70.39001788,42.79353782,5.52,20.06
30/09/1997,7.7707,0.19025,19.9,5321.5,21.18,70.75158501,42.92955873,5.48,19.83
17/10/1997,7.7484,0.1906,19.75,5275.59,20.59,71.99443204,43.13225228,5.495,19.64
31/10/1997,8.3683,0.2345,20.02,4647.84,21.08,73.23727907,43.27591388,5.51,19.45
14/11/1997,8.3275,0.235,20.05,4532.67,21,72.99758585,43.5871184,5.555,20.5
28/11/1997,8.2135,0.2077,18.94,4974.57,19.15,72.75789263,43.78790108,5.6,21.55
17/12/1997,8.0787,0.19925,17.4,5112.04,18.19,73.26916568,44.11878245,5.635,21.23
31/12/1997,8.0681,0.2009,16.52,5229.35,17.64,73.78043873,44.48003972,5.67,20.91
16/01/1998,8.1978,0.2012,15.47,4671.24,16.51,73.03084467,45.07761235,5.545,20.21
30/01/1998,8.4643,0.1932,15.96,4569.36,17.21,72.2812506,45.44899423,5.42,19.51
13/02/1998,8.4652,0.20265,14.85,4615.8,16.02,71.77444531,45.94130457,5.42,19.94
27/02/1998,8.5253,0.2112,14.17,4784.45,15.5,71.26764001,46.17017026,5.42,20.37
17/03/1998,8.6048,0.2347,12.26,4784.29,13.35,73.28757656,46.48997124,5.44,20.865
31/03/1998,8.5192,0.2152,14.26,5016.22,15.7,75.30751311,46.70030618,5.46,21.36
16/04/1998,8.5009,0.2075,14.64,5001.55,15.97,74.12994446,46.93776903,5.46,21.15
30/04/1998,8.4898,0.19515,14.46,5098.53,15.48,72.9523758,47.12479778,5.46,20.94
15/05/1998,8.5147,0.193,14.4,4786.18,14.52,74.04519547,47.30781378,5.47,20.295
29/05/1998,8.8164,0.2113,14.37,4530.01,15.23,75.13801514,47.50363002,5.48,19.65
16/06/1998,8.9815,0.22185,12.72,4125.97,12.03,74.89160127,47.86450456,5.48,20.48
30/06/1998,8.9852,0.2324,13.38,4282.62,14.26,74.6451874,48.06777117,5.48,21.31
17/07/1998,8.8218,0.21695,12.8,4674.53,14.01,74.62982462,48.33006903,5.48,21.745
31/07/1998,8.9215,0.21365,13.09,4244.96,14.26,74.61446183,48.52722239,5.48,22.18
17/08/1998,9.3018,0.23625,12.28,3533.14,13.25,74.04685577,48.77843986,5.48,24.005
31/08/1998,9.9717,0.383,12.56,2991.93,13.38,73.4792497,49.00978947,5.48,25.83
15/09/1998,10.2058,0.514,13.02,3414.68,14.61,73.62328334,49.47516292,5.395,32.295
30/09/1998,10.1933,0.3649,14.68,3569.88,16.17,73.76731698,49.89927179,5.31,38.76
16/10/1998,10.0933,0.3844,13.13,3831.33,14.19,74.11574823,50.28842035,5.175,37.095
30/10/1998,10.1137,0.3525,13.22,4074.86,14.45,74.46417948,50.51002669,5.04,35.43
16/11/1998,9.9765,0.346,11.73,3971.5,12.85,74.45380979,51.00138126,5.05,34.76
30/11/1998,9.9995,0.3637,10.46,3769.88,11.26,74.4434401,51.582334,5.06,34.09
17/12/1998,9.7863,0.36515,10.09,3790.85,11.08,75.06039592,52.30522988,5.03,35.48
31/12/1998,9.8963,0.3468,10.53,3959.66,12.09,75.67735173,52.78111066,5,36.87
15/01/1999,10.3485,0.4,10.79,3617.77,12.13,74.98057932,53.63620572,4.885,35.785
29/01/1999,10.1543,0.3625,11.35,3957.93,12.76,74.28380691,54.10406239,4.77,34.7
12/02/1999,9.9486,0.315,10.43,4101.18,11.89,73.49660423,54.47964734,4.78,33.005
26/02/1999,9.9441,0.2975,10.88,4260.8,12.28,72.70940155,54.70851303,4.79,31.31
17/03/1999,9.6888,0.2523,13.27,4855.17,15.05,74.85075503,54.96985581,4.8,28.745
31/03/1999,9.5218,0.24145,15.24,4930.37,16.76,76.9921085,55.23272672,4.81,26.18
16/04/1999,9.5237,0.22855,15.69,5556.44,17.33,75.66066795,55.49044017,4.8,24.205
30/04/1999,9.2447,0.2209,16.57,5414.45,18.66,74.3292274,55.72331791,4.79,22.23
17/05/1999,9.3663,0.22685,15.81,5851.5,17.95,75.62613444,55.85952915,4.8,22.355
31/05/1999,9.6872,0.2329,15.2,5477.65,16.84,76.92304148,56.02325033,4.81,22.48
16/06/1999,9.4585,0.2416,16.47,5628.53,17.95,76.73989329,56.23205713,4.895,22.925
30/06/1999,9.4409,0.2293,17.51,5829.51,19.29,76.55674509,56.38622675,4.98,23.37
16/07/1999,9.3563,0.2173,19.35,5886.41,20.62,76.43468495,56.60554088,5.045,22.7
30/07/1999,9.401,0.2305,19.37,5260.35,20.53,76.3126248,56.75684456,5.11,22.03
17/08/1999,9.3332,0.2305,20.74,5279.89,21.74,75.99131929,56.93298325,5.18,22.2
31/08/1999,9.385,0.2265,21.33,5086.87,22.11,75.67001377,57.06766635,5.25,22.37
15/09/1999,9.3092,0.21935,23.59,4970.24,24.13,75.95888324,57.46483832,5.285,21.92
30/09/1999,9.3483,0.21845,23.58,5050.46,24.51,76.24775271,57.63734769,5.32,21.47
15/10/1999,9.7114,0.2025,22.5,4825.05,22.82,76.35120364,57.85150366,5.6,21.05
29/10/1999,9.625,0.19825,21.69,5450.37,21.75,76.45465456,57.97950046,5.88,20.63
